student_id,age,gender,gaming_hours,study_hours,sleep_hours,attendance,gaming_genre,social_activity,device_usage,reaction_time_ms,addiction_score,stress_level,grades
87,22,Female,1.6,6.5,5.3,71.6,FPS,1.0,6.1,278.13,0.82,Medium,85
88,24,Female,4.3,1.7,8.4,99.1,RPG,0.9,9.4,254.89,11.83,Medium,51
89,23,Male,5.1,6.7,7.3,98.6,FPS,2.6,8.3,268.77,13.05,Low,70
90,17,Male,4.2,5.3,5.5,93.1,FPS,3.4,7.0,265.17,8.64,Medium,71
91,16,Female,3.5,9.4,8.9,69.3,FPS,1.6,6.1,301.68,10.78,Medium,100
92,22,Male,1.5,3.6,8.8,77.7,Casual,0.7,5.8,308.79,1.95,Medium,77
93,22,Female,3.9,7.5,6.9,77.6,FPS,4.0,7.5,266.55,6.16,Medium,84
94,23,Male,3.2,7.6,8.2,75.5,FPS,4.3,6.6,273.69,8.27,Medium,87
95,20,Male,6.4,3.0,5.3,61.8,FPS,1.4,7.9,239.22,12.11,Low,28
96,18,Male,6.1,9.1,6.1,81.4,Casual,2.1,10.5,226.04,16.35,Low,90
97,23,Male,1.1,5.4,4.9,62.9,Casual,0.4,5.7,309.94,3.60,Medium,61
98,21,Female,0.7,7.1,6.6,92.1,Casual,1.1,2.7,318.42,5.13,Medium,96
99,18,Male,7.3,2.3,6.5,87.7,RPG,3.8,12.1,223.09,15.50,Low,26
100,16,Male,4.3,3.3,5.1,74.1,RPG,1.8,9.7,253.12,11.55,Medium,41
101,18,Male,6.9,6.3,7.4,85.9,RPG,3.0,8.7,228.57,10.69,Low,51
102,20,Female,0.5,3.9,4.6,69.3,RPG,4.7,3.7,324.33,2.46,Medium,61
103,18,Male,4.2,5.5,4.3,70.6,FPS,3.6,9.6,277.51,11.26,Medium,52
104,16,Female,4.3,4.4,5.9,72.6,RPG,2.3,7.8,270.31,12.78,Medium,57
105,20,Female,6.9,6.8,6.1,91.9,FPS,1.8,12.0,253.74,13.30,Low,55
106,22,Female,0.8,5.4,5.6,68.4,Casual,1.0,2.9,293.75,2.03,Medium,74
107,22,Female,1.9,1.0,5.3,82.5,RPG,3.8,3.2,294.88,7.41,Medium,53
108,24,Female,3.3,6.9,5.7,68.0,RPG,0.6,4.6,286.60,10.32,Medium,70
109,18,Female,6.9,4.8,4.8,71.4,RPG,0.3,12.8,244.74,15.12,Low,28
110,22,Male,7.5,4.1,6.0,69.4,Casual,0.5,9.3,237.92,14.56,Low,39
111,16,Male,7.9,1.9,8.5,85.8,RPG,1.2,13.3,231.96,15.14,Low,26
112,19,Male,7.7,3.0,5.1,81.1,RPG,3.1,10.3,241.15,12.38,Low,19
113,19,Female,0.1,3.0,7.4,88.9,FPS,4.3,1.3,327.01,0.00,Medium,81
114,20,Other,0.4,9.4,4.7,68.8,FPS,5.0,2.6,303.90,0.57,High,100
115,22,Female,1.2,4.9,5.8,60.4,FPS,3.7,4.7,301.29,8.25,Medium,88
116,22,Male,2.8,1.4,5.6,87.2,FPS,0.7,4.3,269.57,7.04,Medium,46
117,19,Female,6.6,2.3,8.7,64.6,Casual,1.4,12.3,250.28,15.67,Low,42
118,22,Male,7.1,1.7,6.1,69.9,Casual,0.7,12.6,246.27,18.34,Low,21
119,18,Male,1.5,6.3,7.5,72.2,FPS,0.6,3.2,289.92,5.91,Medium,100
120,21,Male,5.0,2.7,7.0,89.9,FPS,2.8,9.7,256.68,14.69,Medium,51
121,17,Male,7.3,5.5,4.7,85.0,RPG,4.5,10.6,214.37,16.85,Low,40
122,24,Female,3.7,4.3,8.7,67.4,RPG,3.4,9.6,274.27,10.33,Medium,62
123,20,Male,0.8,8.2,5.7,83.9,Casual,4.0,2.1,301.77,2.62,High,96
124,21,Male,3.7,3.9,4.2,88.3,RPG,2.5,7.0,264.40,8.88,Medium,59
125,19,Female,3.0,5.1,5.5,75.6,Casual,2.4,5.4,283.63,6.18,Medium,67
126,22,Female,4.6,7.5,5.7,69.8,FPS,4.7,9.3,283.38,13.64,High,71
127,24,Female,3.5,4.9,4.5,87.2,FPS,3.6,5.1,285.83,7.41,Medium,66
128,22,Male,0.1,8.1,7.1,84.4,Casual,2.3,4.3,315.80,0.32,Medium,100
129,16,Female,8.0,7.0,5.7,63.1,FPS,1.7,13.7,224.11,18.81,Low,42
130,16,Female,4.4,4.7,7.2,86.7,FPS,0.5,7.6,286.58,11.77,Medium,68
131,24,Male,3.8,5.5,4.0,79.5,FPS,4.1,7.1,287.11,6.30,Medium,59
132,24,Female,7.6,9.7,8.9,90.1,RPG,0.9,11.1,225.21,16.48,Low,92
133,19,Male,1.3,7.0,4.9,67.6,FPS,2.6,4.3,310.01,2.44,Medium,88
134,24,Male,1.5,9.1,7.3,70.3,Casual,3.2,4.8,291.89,9.01,Medium,100
135,18,Female,6.5,2.6,7.6,81.7,Casual,3.7,9.8,242.73,14.76,Low,32
136,22,Female,2.1,5.4,4.9,79.3,Casual,0.4,8.1,302.56,10.28,Medium,70
137,21,Male,6.4,9.2,4.6,75.5,FPS,0.1,8.0,253.52,14.06,High,78
138,23,Female,2.2,3.9,4.8,89.8,Casual,3.5,4.6,287.56,6.22,Medium,67
139,24,Female,0.3,9.7,5.2,82.6,Casual,2.3,2.3,326.78,1.44,High,100
140,20,Female,4.1,1.9,4.8,88.4,FPS,0.9,7.9,271.80,9.69,Medium,36
141,16,Male,1.6,9.1,7.4,66.1,FPS,4.9,2.6,298.27,3.50,Medium,100
142,18,Female,6.1,5.0,6.1,89.2,RPG,4.0,11.7,266.37,13.61,Low,58
143,23,Male,5.1,1.7,6.7,78.5,Casual,2.9,8.8,254.84,12.07,Low,39
144,21,Female,7.4,8.9,4.2,61.4,FPS,3.5,12.9,220.24,14.27,High,47
145,23,Male,6.3,3.3,8.3,69.4,RPG,0.8,9.0,238.16,14.23,Low,44
146,24,Male,1.5,1.2,4.9,61.0,Casual,4.8,3.2,309.86,1.37,Medium,37
147,19,Female,6.4,2.2,5.8,78.3,FPS,5.0,8.4,233.33,13.97,Low,27
148,16,Male,5.1,6.9,4.4,73.0,FPS,3.2,8.5,266.73,12.58,Low,48
149,16,Male,5.4,9.8,4.7,99.5,Casual,3.3,6.6,247.27,14.13,High,93
150,19,Male,6.7,2.0,7.3,94.7,FPS,3.5,11.6,239.33,16.41,Low,38
151,22,Female,4.6,5.2,7.5,93.0,Casual,3.3,9.5,287.02,11.12,Medium,68
152,17,Male,3.7,2.6,7.4,80.0,Casual,2.2,8.2,266.41,8.46,Medium,61
153,18,Female,5.1,7.7,6.8,92.3,FPS,2.7,10.6,238.72,14.35,Low,89
154,16,Male,2.4,2.1,8.8,70.7,FPS,1.4,6.1,305.11,6.44,Medium,56
155,20,Male,1.5,3.2,6.5,82.4,FPS,2.2,4.9,288.48,3.12,Medium,76
156,16,Male,4.9,2.8,6.3,75.7,FPS,2.2,8.6,252.72,11.99,Medium,46
157,23,Female,1.9,6.0,5.2,66.9,Casual,1.4,3.8,304.85,0.98,Medium,89
158,16,Male,0.6,8.9,4.5,62.9,RPG,3.9,4.2,319.21,3.22,High,93
159,16,Male,0.0,5.6,6.7,82.3,Casual,2.1,3.7,296.26,0.29,Medium,88
160,17,Other,4.9,1.5,5.6,63.9,RPG,2.8,9.7,258.13,11.50,Medium,24
161,17,Female,2.9,6.1,6.6,88.7,RPG,0.8,5.6,293.72,11.16,Medium,84
162,21,Male,6.0,8.2,5.0,96.9,Casual,2.4,7.5,268.05,11.80,High,80
163,22,Male,3.0,2.2,8.2,66.5,Casual,3.8,7.0,271.61,9.57,Medium,65
164,20,Female,3.9,1.7,9.0,78.8,Casual,2.2,8.8,284.00,12.35,Medium,65
165,16,Male,3.3,2.7,5.6,89.6,FPS,2.8,9.1,274.26,11.15,Medium,60
166,16,Male,5.2,7.7,8.2,71.5,Casual,3.5,6.7,268.02,11.87,Low,88
167,18,Female,2.9,6.3,8.4,96.8,RPG,1.9,7.6,275.40,5.85,Medium,91
168,17,Female,7.7,5.9,9.0,95.5,Casual,1.8,11.7,225.18,16.11,Low,55
169,20,Female,7.5,3.3,5.7,64.2,RPG,0.4,8.6,233.99,13.19,Low,9
170,21,Male,6.8,4.0,7.8,61.1,FPS,2.9,11.4,248.18,15.15,Low,38
171,22,Male,7.4,9.7,5.1,99.1,FPS,3.5,8.5,237.38,14.60,High,77
172,19,Female,3.6,3.2,7.1,98.3,FPS,2.9,8.5,272.63,7.82,Medium,65
173,22,Male,4.3,9.1,7.5,76.9,FPS,1.4,8.9,263.50,11.98,Medium,87
174,23,Female,5.9,6.2,7.7,62.0,RPG,1.3,10.4,266.51,13.11,Low,59
175,16,Female,5.6,2.1,5.0,84.8,Casual,0.8,7.2,255.93,11.21,Low,38
176,21,Male,7.1,5.2,8.2,71.7,FPS,0.2,12.7,229.69,13.92,Low,48
177,23,Female,5.7,9.5,6.1,97.5,FPS,2.1,11.2,256.62,14.34,Low,86
178,20,Female,8.0,4.8,5.1,91.8,Casual,0.8,13.5,230.47,18.52,Low,27
179,19,Female,2.8,8.8,6.7,86.0,FPS,3.5,5.6,272.99,5.78,Medium,99
180,17,Male,6.7,3.3,8.3,71.4,Casual,4.8,10.1,244.94,15.81,Low,44
181,21,Male,5.6,6.1,8.8,88.1,FPS,0.4,7.2,237.98,12.18,Low,77
182,21,Female,5.5,8.6,7.7,71.6,RPG,4.5,6.8,247.19,12.87,Low,89
183,16,Male,2.6,9.3,4.0,61.5,FPS,3.3,3.9,278.82,7.13,High,86
184,24,Other,6.3,5.4,4.7,80.3,Casual,4.3,10.1,243.35,15.91,Low,52
185,21,Male,7.2,6.8,4.4,79.6,Casual,0.8,9.8,229.23,19.04,Low,44
186,18,Female,1.8,1.0,4.5,90.5,Casual,4.5,5.7,297.00,5.71,Medium,59
187,19,Male,5.0,3.3,5.9,94.6,FPS,4.8,9.0,241.05,10.09,Medium,48
188,19,Female,3.1,3.5,5.7,74.2,Casual,4.5,8.7,281.56,8.19,Medium,56
189,18,Male,7.9,1.8,4.6,78.0,Casual,3.9,13.3,213.95,17.74,Low,15
190,18,Male,3.8,3.5,8.4,78.8,RPG,0.5,8.4,296.88,8.12,Medium,64
191,18,Male,1.8,3.9,7.1,73.0,RPG,1.1,6.9,294.04,1.18,Medium,76
192,19,Female,3.1,9.7,8.0,89.7,Casual,4.6,4.1,280.82,7.07,Medium,99
193,22,Male,5.2,7.0,5.9,80.9,RPG,1.2,6.3,264.19,11.07,High,82
194,19,Female,0.6,4.8,6.1,96.6,FPS,1.7,3.9,325.90,6.69,Medium,88
195,24,Female,4.8,9.9,5.6,86.0,Casual,0.3,9.1,250.26,15.50,High,85
196,16,Male,7.5,2.4,6.2,68.5,RPG,3.1,12.4,236.33,18.74,Low,25
197,23,Female,6.8,5.3,7.1,66.6,Casual,2.8,10.0,248.06,16.35,Low,50
198,22,Male,0.5,6.8,6.5,74.9,RPG,4.8,6.2,315.37,2.27,Medium,100
199,17,Other,8.0,1.5,8.2,73.9,FPS,4.5,13.0,226.25,18.81,Low,11
200,23,Female,5.6,7.5,8.5,76.3,RPG,2.5,7.1,247.80,11.70,Low,80
201,16,Male,1.3,1.9,6.4,67.3,Casual,3.1,4.5,301.18,4.49,Medium,57
202,24,Male,0.1,2.3,5.2,99.1,FPS,2.1,6.1,317.72,1.65,Medium,69
203,24,Male,1.4,2.4,8.7,65.8,RPG,0.7,4.4,299.30,5.10,Medium,73
204,17,Other,6.7,9.4,7.7,86.1,FPS,4.3,9.6,248.36,12.15,Low,84
205,22,Male,0.2,7.2,7.2,60.5,RPG,2.8,2.6,309.24,7.65,Medium,83
206,18,Female,1.9,6.9,7.7,76.3,Casual,2.1,5.3,306.11,8.35,Medium,100
207,22,Male,6.1,6.0,4.4,72.4,RPG,0.3,10.7,260.56,17.10,Low,44
208,24,Female,4.7,3.6,4.3,75.3,RPG,3.3,5.9,267.42,7.45,Medium,36
209,19,Male,6.3,6.6,4.8,79.9,FPS,2.0,11.4,226.99,11.87,Low,48
210,16,Female,6.0,4.7,4.7,84.0,RPG,1.3,11.6,254.48,15.28,Low,41
211,17,Female,0.4,2.3,6.1,83.3,RPG,4.4,5.3,308.76,2.65,Medium,61
212,16,Female,7.1,7.2,4.8,85.2,Casual,0.9,12.7,229.04,20.77,High,52
213,20,Male,1.8,2.2,8.3,93.8,Casual,2.6,3.3,301.78,5.63,Medium,76
214,20,Male,4.4,2.7,6.9,95.5,RPG,4.0,7.7,277.89,10.40,Medium,66
215,22,Male,5.2,8.4,5.8,89.5,Casual,4.3,6.5,241.59,13.94,High,86
216,24,Female,1.4,6.9,4.4,63.2,Casual,4.1,6.5,304.38,5.65,Medium,78
217,24,Male,7.8,6.7,7.0,98.5,FPS,4.5,13.6,246.20,18.96,Low,56
218,18,Female,3.9,4.8,4.6,97.9,RPG,0.7,6.4,262.09,11.15,Medium,62
219,18,Male,0.5,4.6,7.7,88.5,Casual,4.7,4.1,312.48,1.41,Medium,80
220,18,Female,7.5,7.2,8.0,80.7,Casual,0.1,10.0,223.84,18.28,Low,63
221,19,Female,4.7,7.7,6.7,70.0,FPS,1.3,7.6,270.75,11.96,Medium,71
222,23,Female,5.6,5.6,4.8,90.3,Casual,0.4,9.0,240.42,11.03,Low,52
223,21,Male,4.2,9.7,7.9,95.1,RPG,4.7,9.2,253.90,14.79,Medium,100
224,23,Male,6.7,9.6,5.5,86.6,FPS,2.1,8.4,248.16,13.31,High,72
225,16,Male,0.3,4.7,5.1,85.2,Casual,1.6,2.1,319.15,0.00,Medium,86
226,23,Male,2.2,8.4,6.4,67.7,Casual,0.8,4.2,282.34,3.75,Medium,100
227,19,Female,3.8,5.9,8.6,74.3,RPG,0.8,5.0,274.20,6.08,Medium,80
228,16,Female,0.6,5.6,5.5,88.9,FPS,3.1,4.8,299.86,3.72,Medium,81
229,23,Female,5.7,1.5,8.5,60.7,Casual,0.2,7.6,261.42,15.52,Low,32
230,19,Male,3.2,6.2,4.3,85.7,RPG,3.0,6.3,284.98,8.39,Medium,72
231,21,Female,2.2,9.1,4.4,90.7,FPS,3.9,6.6,286.69,9.75,High,93
232,23,Female,0.0,8.0,7.5,73.4,FPS,3.0,3.3,313.84,3.81,Medium,100
233,19,Female,5.8,8.1,5.0,63.1,FPS,4.1,11.3,246.29,8.95,High,75
234,18,Male,6.7,2.4,5.6,92.8,RPG,1.3,11.5,229.21,17.56,Low,26
235,24,Male,3.2,4.2,4.7,65.7,FPS,0.4,5.5,295.48,6.34,Medium,49
236,18,Male,4.5,3.1,5.7,74.8,FPS,3.6,6.2,277.51,10.87,Medium,49
237,24,Female,1.8,3.8,5.4,88.3,Casual,4.1,7.3,294.15,6.26,Medium,75
238,17,Female,5.0,6.2,7.7,92.7,Casual,2.5,8.0,257.09,17.02,Medium,68
239,17,Male,0.1,4.3,7.5,94.5,FPS,4.1,3.0,307.57,2.53,Medium,82
240,17,Male,3.9,6.1,8.8,81.2,FPS,2.3,9.0,271.47,11.51,Medium,80
241,21,Female,5.2,5.0,7.6,79.0,RPG,1.0,6.2,263.09,12.98,Low,60
242,18,Female,7.4,3.6,7.5,93.9,FPS,2.4,10.6,243.61,13.35,Low,39
243,24,Male,3.1,1.9,7.5,82.5,FPS,1.1,7.6,274.44,10.55,Medium,60
244,19,Female,6.1,9.0,8.4,83.2,FPS,2.4,11.4,229.71,14.43,Low,94
245,16,Other,4.8,1.1,5.5,77.4,Casual,0.7,10.2,252.57,10.89,Medium,31
246,19,Female,7.4,1.0,5.5,74.9,Casual,0.9,10.8,236.52,18.15,Low,6
247,16,Male,3.2,8.4,7.7,79.2,Casual,4.4,8.4,281.28,6.02,Medium,95
248,20,Female,2.6,10.0,5.1,74.6,RPG,0.6,3.7,299.32,7.57,High,94
249,19,Female,7.1,7.5,8.6,73.7,Casual,1.1,9.6,235.22,15.15,Low,78
250,23,Male,0.4,1.1,6.7,99.8,RPG,5.0,1.4,331.48,1.10,Medium,57
251,23,Female,1.1,3.0,5.5,73.5,RPG,2.9,2.9,291.06,0.00,Medium,71
252,22,Female,0.7,9.8,7.9,70.3,RPG,2.9,5.3,287.18,5.43,Medium,100
253,18,Female,6.7,8.3,5.6,74.2,Casual,4.2,7.8,252.65,14.49,High,65
254,16,Male,0.1,6.1,8.8,83.6,FPS,2.6,3.7,311.08,1.04,Medium,100
255,16,Female,6.9,3.1,8.9,96.4,FPS,1.1,10.0,238.70,13.46,Low,48
256,18,Female,3.6,1.1,7.3,91.5,Casual,2.1,5.2,278.02,9.59,Medium,43
257,21,Male,0.0,1.2,4.6,93.7,FPS,3.8,4.5,322.91,2.97,Medium,55
258,22,Female,3.2,6.5,5.3,94.4,FPS,4.4,7.7,276.74,8.67,Medium,75
259,21,Female,1.5,1.2,6.6,96.8,RPG,1.4,6.1,292.60,3.32,Medium,66
260,21,Female,5.0,9.9,8.3,69.4,FPS,1.3,9.8,249.68,13.02,Medium,99
261,21,Male,5.4,2.7,4.9,78.3,FPS,1.6,8.0,260.88,12.63,Low,31
262,18,Female,3.9,7.4,4.5,75.4,FPS,3.0,9.9,280.91,13.42,High,72
263,21,Male,0.3,2.4,4.4,75.3,RPG,1.4,1.7,313.66,0.00,Medium,58
264,23,Male,5.3,5.9,6.5,86.1,FPS,4.5,9.5,251.03,11.19,Low,70
265,17,Female,6.7,1.7,8.4,76.1,RPG,4.9,12.6,244.81,20.29,Low,46
266,20,Male,5.8,7.9,4.2,84.7,FPS,3.4,7.9,236.06,12.96,High,62
267,16,Female,6.6,6.3,5.1,75.3,FPS,4.9,9.0,259.82,14.98,Low,41
268,16,Male,1.6,1.8,7.5,72.5,Casual,1.4,5.5,305.32,7.07,Medium,73
269,20,Male,7.1,8.6,8.1,74.1,Casual,4.1,12.0,233.09,20.30,Low,80
270,18,Male,2.6,5.9,8.0,92.2,RPG,3.4,5.2,297.34,4.16,Medium,82
271,19,Other,0.1,9.3,7.9,84.0,FPS,1.3,5.3,324.99,7.17,Medium,100
272,18,Female,6.8,9.3,4.7,99.0,FPS,1.6,9.0,241.35,14.52,High,73
273,16,Female,7.5,9.3,6.0,93.3,Casual,2.4,12.9,210.74,18.27,High,82
274,16,Male,5.2,1.7,8.9,79.4,FPS,4.0,7.5,261.23,11.73,Low,44
275,20,Male,1.9,2.1,8.9,69.7,Casual,4.4,5.9,312.36,8.74,Medium,74
276,21,Other,2.0,9.9,7.0,87.0,RPG,3.2,4.8,290.33,7.33,Medium,100
277,18,Male,3.7,5.4,7.6,89.1,Casual,3.6,6.3,284.83,8.48,Medium,79
278,24,Male,7.2,3.1,8.8,78.6,RPG,1.3,10.0,242.33,13.49,Low,40
279,20,Female,1.2,7.9,6.3,69.2,RPG,3.7,4.7,308.54,3.66,Medium,100
280,23,Male,6.6,3.4,4.7,82.3,FPS,3.0,11.8,242.38,13.16,Low,31
281,16,Female,2.3,7.5,7.3,70.2,RPG,1.1,7.1,297.64,8.84,Medium,88
282,20,Female,6.5,8.5,8.8,97.6,Casual,4.8,9.7,246.52,13.21,Low,100
283,18,Male,7.4,8.1,7.5,85.2,FPS,2.6,9.8,250.59,15.72,Low,80
284,16,Male,3.4,3.5,8.0,71.7,FPS,4.0,8.7,288.63,11.82,Medium,60
285,19,Male,2.9,4.6,6.1,68.6,FPS,2.6,8.3,292.03,10.13,Medium,70
286,20,Female,6.4,4.7,4.5,88.7,RPG,4.7,9.7,253.53,15.24,Low,41
